Date Raised,Town/City,Postcode,Flooding Category,Feedback Responsibility,Feedback Cause
2023-12-05,NEWQUAY,TR8 5PE,External inside boundary of property,Sewerage,Blockage Paper/Rag
2023-12-05,FALMOUTH,TR11 4PN,External outside bounday of property,Sewerage,Blockage - Roots
2023-12-05,CORNWALL,TR11 3JA,External inside boundary of property,Sewerage,Blockage non sewage debris
2023-12-05,TRURO,TR1 2SQ,External outside bounday of property,Sewerage,Blockage - Fat
2023-12-05,PAIGNTON,TQ3 1TD,External outside bounday of property,Sewerage,Blockage Paper/Rag
2023-12-05,EXETER,EX6 8PW,External inside boundary of property,Sewerage,Blockage - Fat
2023-12-04,SOUTH MOLTON,EX36 4BN,External inside boundary of property,Sewerage,Blockage non sewage debris
2023-12-04,LAUNCESTON,PL15 8HN,External inside boundary of property,Sewerage,Blockage - Roots
2023-12-04,HONITON,EX14 1RB,External inside boundary of property,Sewerage,Blockage Paper/Rag
2023-12-04,AXMINSTER,EX13 5GA,External inside boundary of property,Sewerage,Hydraulic Overload
2023-12-04,AXMINSTER,EX13 5EX,External inside boundary of property,Sewerage,Blockage Paper/Rag
2023-12-04,SEATON,EX12 2SN,External inside boundary of property,Sewerage,Blockage - Roots
2023-12-04,LYME REGIS,DT7 3TB,External inside boundary of property,Sewerage,Hydraulic Overload
2023-12-04,TORQUAY,TQ1 2EH,External outside bounday of property,Sewerage,Blockage non sewage debris
2023-12-04,TORQUAY,TQ1 1PN,External outside bounday of property,Sewerage,Blockage non sewage debris
2023-12-04,DULVERTON,TA22 9EG,External inside boundary of property,Sewerage,Blockage non sewage debris
2023-12-04,BIDEFORD,EX39 4EY,External outside bounday of property,Sewerage,Blockage - Fat
2023-12-04,BIDEFORD,EX39 2DW,External inside boundary of property,Sewerage,Blockage Paper/Rag
2023-12-04,PLYMOUTH,PL8 1DX,External outside bounday of property,Sewerage,Hydraulic Overload
2023-12-04,PLYMOUTH,PL7 2DU,External inside boundary of property,Sewerage,Blockage Paper/Rag
2023-12-04,PENZANCE,TR20 8SP,Internal Flooding,Private,Sewer condition
2023-12-04,HELSTON,TR12 7JS,External inside boundary of property,Sewerage,Sewer condition
2023-12-04,FALMOUTH,TR11 2TS,External inside boundary of property,Sewerage,Collapse/Burst-Sewerage
2023-12-04,DAWLISH,EX7 9AY,External inside boundary of property,Sewerage,Blockage non sewage debris
2023-12-04,DAWLISH,EX7 0PG,External outside bounday of property,Sewerage,Hydraulic Overload
2023-12-04,EXETER,EX6 8PA,Internal Flooding,Private,Hydraulic Overload
2023-12-03,PLYMOUTH,PL5 4LT,Internal Flooding,Sewerage,Blockage Paper/Rag
2023-12-03,TOTNES,TQ9 6PB,External inside boundary of property,Sewerage,Sewer condition
2023-12-02,SALTASH,PL12 4UA,External inside boundary of property,Sewerage,Blockage Paper/Rag
2023-12-02,AXMINSTER,EX13 5LQ,External inside boundary of property,Sewerage,Blockage Paper/Rag
2023-12-02,FALMOUTH,TR11 4PN,External inside boundary of property,Sewerage,Blockage - Roots
2023-12-02,EXETER,EX4 1TS,External inside boundary of property,Sewerage,Blockage Paper/Rag
2023-12-02,EXETER,EX2 8EW,External inside boundary of property,Sewerage,Blockage Paper/Rag
2023-12-02,EXETER,EX2 8EW,External inside boundary of property,Sewerage,Blockage Paper/Rag
2023-12-02,DARTMOUTH,TQ6 9NX,External inside boundary of property,Sewerage,Blockage Paper/Rag
2023-12-01,NEWQUAY,TR8 4QD,External outside bounday of property,Sewerage,Blockage non sewage debris
2023-12-01,ST. AUSTELL,PL25 5EH,External inside boundary of property,Sewerage,Blockage Paper/Rag
2023-12-01,REDRUTH,TR16 6HQ,External inside boundary of property,Sewerage,Blockage Paper/Rag
2023-12-01,CAMBORNE,TR14 7PH,External inside boundary of property,Sewerage,Blockage non sewage debris
2023-12-01,TAVISTOCK,PL19 8ER,External inside boundary of property,Sewerage,Blockage Paper/Rag
2023-12-01,BIDEFORD,EX39 3SA,External inside boundary of property,Sewerage,Blockage Paper/Rag
2023-12-01,HELSTON,TR13 9JS,Internal Flooding,Private,Blockage Paper/Rag
2023-12-01,FALMOUTH,TR11 2NR,External inside boundary of property,Sewerage,Blockage Paper/Rag
2023-12-01,EXETER,EX1 3SR,External inside boundary of property,Sewerage,Blockage non sewage debris
