Reports - Group Journal - 01/01/2023 - 31/12/2023 - All - 0 - All,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
,,,,,,,,,,,,,,,,,,,,
Company Confidential,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Event Id,PropertyId,Property_Type,Max Depth,Interceptor,InterceptorRemoval,Greater24Hours,Occ Basement,CauseOfBlockage,OSPostcode,OSRoad,OSPostTown,OSCounty,Flood Incident Date,SewTypeCode,FloodCatCode,FloodLevelCode,FloodLocCode,Rainfall Return,Job Creation Date,Asset Owner
516957,1185625,Commercial,,,,,,DEF,SE1 6XX,WALWORTH ROAD,LONDON,,2023-05-16 00:00:00,C,B,A,I,0,2023-12-21 00:00:00,TWUL (LOCAL)
511979,1145373,House/ Flat,Less than 30 mm,,,,,PR,TN13 2XX,POUNSLEY ROAD,SEVENOAKS,KENT,2023-04-16 00:00:00,F,B,A,E,0,2023-05-26 00:00:00,TWUL (EX S24)
511608,1182962,Commercial,Less than 30 mm,,,,,FG,E1 1XX,WHITECHAPEL ROAD,LONDON,,2023-04-19 00:00:00,C,B,Z,Y,0,2023-05-09 00:00:00,TWUL (LOCAL)
512461,1183426,House/ Flat,Less than 30 mm,No,No,No,No,UK,HA0 2XX,GAUNTLETT COURT,WEMBLEY,MIDDLESEX,2023-06-22 00:00:00,F,B,A,E,0,2023-06-22 00:00:00,TWUL (EX S24)
514196,1184377,House/ Flat,Less than 30 mm,No,No,No,No,,HA0 2XX,GAUNTLETT COURT,WEMBLEY,MIDDLESEX,2023-09-29 00:00:00,F,C,A,E,0,2023-09-29 00:00:00,TWUL (EX S24)
510315,1182264,House/ Flat,30 to 299mm,No,No,No,No,UK,HA0 2XX,HARROW ROAD,WEMBLEY,MIDDLESEX,2023-03-16 00:00:00,F,B,A,S,0,2023-03-16 00:00:00,TWUL (EX S24)
508347,1083429,House/ Flat,Less than 30 mm,No,No,Yes,No,UK,HA0 2XX,ST. ANDREWS AVENUE,WEMBLEY,MIDDLESEX,2023-01-15 00:00:00,F,B,A,E,0,2023-01-15 00:00:00,TWUL (EX S24)
516180,1083429,House/ Flat,Less than 30 mm,No,No,Yes,No,UK,HA0 2XX,ST. ANDREWS AVENUE,WEMBLEY,MIDDLESEX,2023-11-28 00:00:00,F,B,A,S,0,2023-11-28 00:00:00,TWUL (LOCAL)
512348,1183370,House/ Flat,30 to 299mm,No,No,Yes,No,UK,HA0 2XX,ST. ANDREWS AVENUE,WEMBLEY,MIDDLESEX,2023-06-17 00:00:00,F,B,A,S,0,2023-06-17 00:00:00,TWUL (EX S24)
514507,1184547,House/ Flat,Less than 30 mm,No,No,No,No,UK,HA0 2XX,ST. ANDREWS AVENUE,WEMBLEY,MIDDLESEX,2023-10-11 00:00:00,F,B,A,E,0,2023-10-11 00:00:00,TWUL (LOCAL)
508684,1173917,House/ Flat,Less than 30 mm,,,,,UK,HA0 2XX,HARROW ROAD,WEMBLEY,MIDDLESEX,2023-01-09 00:00:00,F,B,A,I,2,2023-01-24 00:00:00,TWUL (EX S24)
513808,1184200,Commercial,Less than 30 mm,No,No,No,No,UK,HA0 3XX,HARROW ROAD,WEMBLEY,,2023-09-15 00:00:00,F,B,A,E,0,2023-09-16 00:00:00,TWUL (EX S24)
512199,1183292,House/ Flat,Less than 30 mm,No,No,No,No,UK,HA0 3XX,THE CROFT,WEMBLEY,MIDDLESEX,2023-06-09 00:00:00,F,B,A,E,0,2023-06-09 00:00:00,TWUL (EX S24)
515777,1013334,House/ Flat,Less than 30 mm,,,,,,HA0 3XX,WATFORD ROAD,WEMBLEY,MIDDLESEX,2023-10-28 00:00:00,F,H,A,E,8,2023-11-20 00:00:00,TWUL (LOCAL)
517003,1097300,House/ Flat,Less than 30 mm,No,No,No,No,UK,HA0 3XX,PASTURE ROAD,WEMBLEY,MIDDLESEX,2023-12-21 00:00:00,F,B,A,E,0,2023-12-22 00:00:00,TWUL (EX S24)
510457,1182339,House/ Flat,Less than 30 mm,,,,,PR,HA0 3XX,EAST LANE,WEMBLEY,,2023-03-10 00:00:00,F,B,A,Y,0,2023-03-22 00:00:00,TWUL (EX S24)
510241,1154838,Commercial,Less than 30 mm,No,No,Yes,No,UK,HA0 3XX,EAST LANE,WEMBLEY,MIDDLESEX,2023-03-13 00:00:00,S,B,A,E,0,2023-03-13 00:00:00,UNKNOWN
510641,1146773,House/ Flat,Less than 30 mm,No,No,No,No,UK,HA0 3XX,PAXFORD ROAD,WEMBLEY,MIDDLESEX,2023-03-29 00:00:00,F,B,A,E,0,2023-03-29 00:00:00,TWUL (EX S24)
508840,1181429,House/ Flat,Less than 30 mm,No,No,Yes,No,UK,HA0 3XX,ABBOTTS DRIVE,WEMBLEY,MIDDLESEX,2023-01-27 00:00:00,F,B,A,E,0,2023-01-27 00:00:00,TWUL (LOCAL)
508822,1117308,House/ Flat,Less than 30 mm,No,No,No,No,UK,HA0 3XX,NORVAL ROAD,WEMBLEY,MIDDLESEX,2023-01-15 00:00:00,F,B,A,E,0,2023-01-27 00:00:00,TWUL (EX S24)
516504,1105056,Commercial,Less than 30 mm,,,,,DEBRIS,HA0 4XX,EALING ROAD,WEMBLEY,MIDDLESEX,2023-12-08 00:00:00,F,B,A,M,0,2023-12-09 00:00:00,TWUL (EX S24)
514441,1184515,House/ Flat,Less than 30 mm,,,,,FG,HA0 4XX,PARK ROAD,WEMBLEY,MIDDLESEX,2023-10-09 00:00:00,F,B,A,I,0,2023-10-09 00:00:00,TWUL (EX S24)
513399,1183962,House/ Flat,Less than 30 mm,No,No,No,No,UK,HA0 4XX,PARK ROAD,WEMBLEY,MIDDLESEX,2023-08-21 00:00:00,F,B,A,E,0,2023-08-21 00:00:00,TWUL (LOCAL)
